tft,t_h,split,dVth_truth,dVth_extracted,dVth_law,mu_loss_truth_pct,mu_loss_extracted_pct,mu_loss_law_pct
T1,0,fit,0.0,0.0,0.0,0.0,0.0,0.0
T1,10,fit,0.10913747092523012,0.11062667726729836,0.11075224271016351,0.04422978443876513,-0.04366200360546024,0.09891373441992146
T1,30,fit,0.17703932543889572,0.17660377219141488,0.1770350446711926,0.13104788484112895,0.5814297236371502,0.2827082002763042
T1,100,fit,0.28922638044764526,0.2897685675948529,0.2888140409743175,0.4183749155703964,0.6089191523363624,0.8056496655617409
T1,300,fit,0.4324563078532864,0.4348684202854547,0.43545694744644753,1.1134201945440236,1.7119892659541502,1.6299869024963116
T1,1000,fit,0.6351077161783134,0.6421069129523784,0.6419965470237293,2.54043086471325,2.1316398702931005,2.1527823843080616
T1,3000,blind,0.8564877655613157,0.8592788361307975,0.8433833193686441,3.476807757579381,3.0887731275277774,2.1746215369480537
T2,0,fit,0.0,0.0,0.0,0.0,0.0,0.0
T2,10,fit,0.019676437016650596,0.018704624032853667,0.019001576772382883,0.007974205013105973,0.11569777662819858,0.04163727275910512
T2,30,fit,0.031918488736607076,0.030471718660121327,0.030809986223693266,0.023626674050458707,0.018964124732823162,0.08141183888880169
T2,100,fit,0.05214473645198148,0.0519055694369468,0.05082336329993505,0.07542897600409937,0.18017927855144,0.16955205007668625
T2,300,fit,0.0779677156872921,0.07614719286774752,0.07685694641335158,0.2007389592711184,0.3291089204108366,0.3304411267462352
T2,1000,fit,0.11450381679389313,0.11241997080431121,0.11228092025338902,0.45801526717557106,0.6841233118511814,0.6832411882380066
T2,3000,blind,0.15441651187010494,0.15522711908869202,0.14417110287818877,0.6268350208324058,0.6318056160032892,1.3141230042048446
T3,0,fit,0.0,0.0,0.0,0.0,0.0,0.0
T3,10,fit,0.019676437016650596,0.015782804915660087,0.018111271879249127,0.007974205013105973,0.25352272962738676,0.07396315272684323
T3,30,fit,0.031918488736607076,0.031956006301882334,0.030388623202059362,0.023626674050458707,0.009817568039016678,0.12651440595094146
T3,100,fit,0.05214473645198148,0.052835357365421776,0.05159067591943204,0.07542897600409937,0.1435296926399876,0.2274872779691298
T3,300,fit,0.0779677156872921,0.07760505014256602,0.07893823652356531,0.2007389592711184,0.4619122349622473,0.3876324264465181
T3,1000,fit,0.11450381679389313,0.11416121379622024,0.11384881433460992,0.45801526717557106,0.6800067997522974,0.6918935065180388
T3,3000,blind,0.15441651187010494,0.1546883490207619,0.1404747798544911,0.6268350208324058,0.6887757415198426,1.1652407276782006
T4,0,fit,0.0,0.0,0.0,0.0,0.0,0.0
T4,10,fit,0.019676437016650596,0.02005084240214161,0.020188018987195713,0.007974205013105973,-0.12766660307135247,0.0025757554235168894
T4,30,fit,0.031918488736607076,0.0322299523579489,0.03225728764400948,0.023626674050458707,-0.04136295335848139,0.007726826210786267
T4,100,fit,0.05214473645198148,0.05281502551787076,0.052521022538469485,0.07542897600409937,0.016275858171044266,0.025750954215782763
T4,300,fit,0.0779677156872921,0.07866165027216288,0.07887405086593864,0.2007389592711184,-0.21499128594901773,0.07720888673248323
T4,1000,fit,0.11450381679389313,0.1154243636734188,0.11538135287768579,0.45801526717557106,0.3486589139134133,0.256850778929814
T4,3000,blind,0.15441651187010494,0.1560827511440015,0.14995502942308145,0.6268350208324058,0.3781978834313082,0.7661846695959035
T5,0,fit,0.0,0.0,0.0,0.0,0.0,0.0
T5,10,fit,0.35908024324622734,0.36259052506484424,0.36884442919900207,0.1455232709752119,0.11925383300958048,0.18135681088294733
T5,30,fit,0.5824885211633617,0.5906386205840322,0.5858949959555134,0.4311691114584848,-0.03683616576144466,0.5347357534078935
T5,100,fit,0.9516023980024015,0.9525270359779652,0.9491655602193771,1.376522336256636,1.029304903720396,1.6790267234274736
T5,300,fit,1.4228524346483158,1.4182197825306446,1.4221117619775527,3.6633357077335726,4.745326567658726,4.275201716870984
T5,1000,fit,2.089608924226442,2.0842705443796454,2.083372152562699,8.358435696905776,8.596729884553888,8.666203835926524
T5,3000,blind,2.8179857255980894,2.8253524500232787,2.7245102487800685,11.439269800995177,9.636176008823515,10.452844196480392
T6,0,fit,0.0,0.0,0.0,0.0,0.0,0.0
T6,10,fit,0.3525937960754813,0.3567407693886133,0.3613926403498098,0.14289452983154982,0.30412667923664927,0.12351255705477666
T6,30,fit,0.5719664133861836,0.5808079159451489,0.5761698039956724,0.423380446624555,-0.19009505836580232,0.3673308440772839
T6,100,fit,0.9344125948921111,0.936401349689211,0.9358322492799187,1.3516567537540713,0.5831924312206138,1.18798339920547
T6,300,fit,1.3971499424541545,1.400625442788293,1.4023863814272655,3.5971609905670054,3.6473041122526917,3.2746987321838046
T6,1000,fit,2.0518621025913126,2.0477172473011067,2.0472552894205376,8.207448410365249,8.240286319163747,8.278846889102063
T6,3000,blind,2.7670814614933263,2.7770305334477854,2.6571396176599444,11.23263014138799,9.153749528676158,13.189232932853825
