tft,t_h,kind,vsg,vsd,id,id_meas,split
T1,0,tr,-2.0,0.1,2.02e-14,3.023525270350009e-14,fit
T1,0,tr,-1.95,0.1,2.02e-14,1.8366928085686314e-14,fit
T1,0,tr,-1.9,0.1,2.02e-14,1.1276387179582501e-14,fit
T1,0,tr,-1.85,0.1,2.02e-14,1.9094221505032003e-14,fit
T1,0,tr,-1.8,0.1,2.02e-14,3.215960873294527e-14,fit
T1,0,tr,-1.75,0.1,2.02e-14,1.4515527146988236e-14,fit
T1,0,tr,-1.7,0.1,2.02e-14,2.5192524573577206e-14,fit
T1,0,tr,-1.65,0.1,2.02e-14,1.947450228683372e-14,fit
T1,0,tr,-1.6,0.1,2.02e-14,2.3382653790997922e-14,fit
T1,0,tr,-1.55,0.1,2.02e-14,1.6392744563609428e-14,fit
T1,0,tr,-1.5,0.1,2.02e-14,2.5845700790391774e-14,fit
T1,0,tr,-1.45,0.1,2.02e-14,1.865574979818807e-14,fit
T1,0,tr,-1.4,0.1,2.02e-14,2.0946737166425183e-14,fit
T1,0,tr,-1.35,0.1,2.02e-14,1.9327431356044216e-14,fit
T1,0,tr,-1.3,0.1,2.02e-14,2.2782460057418384e-14,fit
T1,0,tr,-1.25,0.1,2.02e-14,2.6168040414295643e-14,fit
T1,0,tr,-1.2,0.1,2.02e-14,1.8269276431193493e-14,fit
T1,0,tr,-1.15,0.1,2.02e-14,2.6435569807621392e-14,fit
T1,0,tr,-1.1,0.1,2.02e-14,2.5060639875141037e-14,fit
T1,0,tr,-1.05,0.1,2.02e-14,1.7951193183627055e-14,fit
T1,0,tr,-1.0,0.1,2.02e-14,2.5212667490990697e-14,fit
T1,0,tr,-0.95,0.1,2.02e-14,1.8275916177606822e-14,fit
T1,0,tr,-0.9,0.1,2.02e-14,2.6992387236762155e-14,fit
T1,0,tr,-0.85,0.1,2.02e-14,1.3192334316523166e-14,fit
T1,0,tr,-0.8,0.1,2.02e-14,1.1995414146492395e-14,fit
T1,0,tr,-0.75,0.1,2.02e-14,2.994885834737922e-14,fit
T1,0,tr,-0.7,0.1,2.02e-14,1.9409595279667858e-14,fit
T1,0,tr,-0.65,0.1,2.02000001e-14,1.7813199019200875e-14,fit
T1,0,tr,-0.6,0.1,2.02000002e-14,1.3688421207167745e-14,fit
T1,0,tr,-0.55,0.1,2.02000004e-14,2.7973718068567332e-14,fit
T1,0,tr,-0.5,0.1,2.02000008e-14,2.1515484698498187e-14,fit
T1,0,tr,-0.45,0.1,2.02000019e-14,2.2819669209540453e-14,fit
T1,0,tr,-0.4,0.1,2.02000044e-14,1.5118073235104458e-14,fit
T1,0,tr,-0.35,0.1,2.02000101e-14,2.005653627882455e-14,fit
T1,0,tr,-0.3,0.1,2.02000234e-14,1.6071857708483203e-14,fit
T1,0,tr,-0.25,0.1,2.0200054e-14,1.233773770450883e-14,fit
T1,0,tr,-0.2,0.1,2.02001247e-14,1.6775415238272705e-14,fit
T1,0,tr,-0.15,0.1,2.02002878e-14,2.6062336854684845e-14,fit
T1,0,tr,-0.1,0.1,2.02006643e-14,1.768022042850996e-14,fit
T1,0,tr,-0.05,0.1,2.02015334e-14,1.857791837466851e-14,fit
T1,0,tr,1.20736754e-15,0.1,2.02035395e-14,3.0435816119895596e-14,fit
T1,0,tr,0.05,0.1,2.02081704e-14,2.7415988228741034e-14,fit
T1,0,tr,0.1,0.1,2.02237041e-14,2.745729730760832e-14,fit
T1,0,tr,0.15,0.1,2.02547134e-14,2.311574409290346e-14,fit
T1,0,tr,0.2,0.1,2.03262823e-14,2.855269266022352e-14,fit
T1,0,tr,0.25,0.1,2.04914481e-14,2.340791600570844e-14,fit
