kind,gray,vdata,t_h,only,i_nA,vg
truth,고계조,3.0,0,,525.4899,1.840962
cards,고계조,3.0,0,,502.29830000000004,1.87008
law,고계조,3.0,0,,504.84650000000005,1.864709
sens,고계조,3.0,0,T1,525.4899,1.840962
sens,고계조,3.0,0,T2,525.4899,1.840962
sens,고계조,3.0,0,T3,525.4899,1.840962
sens,고계조,3.0,0,T4,525.4899,1.840962
sens,고계조,3.0,0,T5,525.4899,1.840962
sens,고계조,3.0,0,T6,525.4899,1.840962
truth,고계조,3.0,10,,519.5847,1.7399
cards,고계조,3.0,10,,497.93430000000006,1.765892
law,고계조,3.0,10,,499.80539999999996,1.76031
sens,고계조,3.0,10,T1,520.1612,1.739702
sens,고계조,3.0,10,T2,525.4899,1.840962
sens,고계조,3.0,10,T3,525.402,1.841097
sens,고계조,3.0,10,T4,525.4932,1.840957
sens,고계조,3.0,10,T5,525.106,1.840916
sens,고계조,3.0,10,T6,525.3811000000001,1.841064
truth,고계조,3.0,30,,515.6155,1.676984
cards,고계조,3.0,30,,492.4889,1.70332
law,고계조,3.0,30,,496.2063,1.697753
sens,고계조,3.0,30,T1,516.5934000000001,1.676654
sens,고계조,3.0,30,T2,525.4931,1.840957
sens,고계조,3.0,30,T3,525.3493,1.841178
sens,고계조,3.0,30,T4,525.4911,1.84096
sens,고계조,3.0,30,T5,524.8247,1.840887
sens,고계조,3.0,30,T6,525.2981,1.841145
truth,고계조,3.0,100,,508.3466,1.572942
cards,고계조,3.0,100,,487.58,1.596731
law,고계조,3.0,100,,489.146,1.592115
sens,고계조,3.0,100,T1,510.08040000000005,1.572384
sens,고계조,3.0,100,T2,525.4916999999999,1.840959
sens,고계조,3.0,100,T3,525.2573,1.84132
sens,고계조,3.0,100,T4,525.493,1.840957
sens,고계조,3.0,100,T5,524.2618,1.840831
sens,고계조,3.0,100,T6,525.1365,1.841301
truth,고계조,3.0,300,,497.47520000000003,1.439892
cards,고계조,3.0,300,,476.3583,1.459306
law,고계조,3.0,300,,479.1563,1.453447
sens,고계조,3.0,300,T1,500.38620000000003,1.439015
sens,고계조,3.0,300,T2,525.4896,1.840962
sens,고계조,3.0,300,T3,525.1415000000001,1.841498
sens,고계조,3.0,300,T4,525.4913,1.84096
sens,고계조,3.0,300,T5,523.3171,1.840727
sens,고계조,3.0,300,T6,524.8694,1.841556
truth,고계조,3.0,1000,,479.99,1.251388
cards,고계조,3.0,1000,,465.3367,1.263987
law,고계조,3.0,1000,,467.5914,1.258705
sens,고계조,3.0,1000,T1,484.945,1.249973
sens,고계조,3.0,1000,T2,525.4898000000001,1.840962
sens,고계조,3.0,1000,T3,524.9778,1.84175
sens,고계조,3.0,1000,T4,525.4913,1.84096
sens,고계조,3.0,1000,T5,521.5169,1.840539
sens,고계조,3.0,1000,T6,524.3282,1.842076
truth,고계조,3.0,3000,,463.9354,1.046061
cards,고계조,3.0,3000,,451.9328,1.059038
law,고계조,3.0,3000,,458.5265,1.069314
sens,고계조,3.0,3000,T1,471.0874,1.04393
sens,고계조,3.0,3000,T2,525.4923,1.840958
sens,고계조,3.0,3000,T3,524.7995999999999,1.842025
sens,고계조,3.0,3000,T4,525.493,1.840957
sens,고계조,3.0,3000,T5,519.5483,1.840328
sens,고계조,3.0,3000,T6,523.5596,1.842817
truth,중계조,3.6,0,,237.317,2.369181
cards,중계조,3.6,0,,223.67,2.398172
law,중계조,3.6,0,,224.6892,2.392803
sens,중계조,3.6,0,T1,237.317,2.369181
sens,중계조,3.6,0,T2,237.317,2.369181
sens,중계조,3.6,0,T3,237.317,2.369181
sens,중계조,3.6,0,T4,237.317,2.369181
sens,중계조,3.6,0,T5,237.317,2.369181
sens,중계조,3.6,0,T6,237.317,2.369181
truth,중계조,3.6,10,,233.5758,2.268055
cards,중계조,3.6,10,,220.9291,2.293916
law,중계조,3.6,10,,221.6573,2.288332
sens,중계조,3.6,10,T1,233.7802,2.267892
sens,중계조,3.6,10,T2,237.31889999999999,2.369177
sens,중계조,3.6,10,T3,237.2573,2.369317
sens,중계조,3.6,10,T4,237.3178,2.369179
sens,중계조,3.6,10,T5,237.19989999999999,2.369162
sens,중계조,3.6,10,T6,237.28650000000002,2.369225
truth,중계조,3.6,30,,231.1338,2.205101
cards,중계조,3.6,30,,218.08589999999998,2.231306
law,중계조,3.6,30,,219.6029,2.225738
sens,중계조,3.6,30,T1,231.47809999999998,2.20483
sens,중계조,3.6,30,T2,237.3178,2.369179
sens,중계조,3.6,30,T3,237.2222,2.369397
sens,중계조,3.6,30,T4,237.3175,2.36918
sens,중계조,3.6,30,T5,237.1147,2.369148
sens,중계조,3.6,30,T6,237.261,2.369265
truth,중계조,3.6,100,,226.83,2.100982
cards,중계조,3.6,100,,215.133,2.124643
law,중계조,3.6,100,,215.7493,2.120025
sens,중계조,3.6,100,T1,227.42929999999998,2.10053
sens,중계조,3.6,100,T2,237.3178,2.369179
sens,중계조,3.6,100,T3,237.1594,2.36954
sens,중계조,3.6,100,T4,237.31730000000002,2.36918
sens,중계조,3.6,100,T5,236.9454,2.36912
sens,중계조,3.6,100,T6,237.2137,2.369336
truth,중계조,3.6,300,,220.72670000000002,1.967821
cards,중계조,3.6,300,,209.353,1.987105
law,중계조,3.6,300,,210.44959999999998,1.981246
sens,중계조,3.6,300,T1,221.707,1.967127
sens,중계조,3.6,300,T2,237.3178,2.369179
sens,중계조,3.6,300,T3,237.0805,2.369719
sens,중계조,3.6,300,T4,237.3191,2.369176
sens,중계조,3.6,300,T5,236.6584,2.369072
sens,중계조,3.6,300,T6,237.13389999999998,2.369457
truth,중계조,3.6,1000,,211.3505,1.779109
cards,중계조,3.6,1000,,203.27339999999998,1.791553
law,중계조,3.6,1000,,204.1539,1.786268
sens,중계조,3.6,1000,T1,212.96779999999998,1.778034
sens,중계조,3.6,1000,T2,237.31830000000002,2.369178
sens,중계조,3.6,1000,T3,236.9688,2.369974
sens,중계조,3.6,1000,T4,237.3174,2.36918
sens,중계조,3.6,1000,T5,236.1126,2.368981
sens,중계조,3.6,1000,T6,236.97299999999998,2.3697
truth,중계조,3.6,3000,,202.5068,1.57348
cards,중계조,3.6,3000,,196.1749,1.586299
law,중계조,3.6,3000,,198.99329999999998,1.59654
sens,중계조,3.6,3000,T1,204.79080000000002,1.571933
sens,중계조,3.6,3000,T2,237.3181,2.369179
sens,중계조,3.6,3000,T3,236.8449,2.370256
sens,중계조,3.6,3000,T4,237.3178,2.369179
sens,중계조,3.6,3000,T5,235.51139999999998,2.368886
sens,중계조,3.6,3000,T6,236.74280000000002,2.370048
truth,저계조,4.1,0,,84.24706,2.807827
cards,저계조,4.1,0,,76.67391,2.836629
law,저계조,4.1,0,,76.94287,2.831253
sens,저계조,4.1,0,T1,84.24706,2.807827
sens,저계조,4.1,0,T2,84.24706,2.807827
sens,저계조,4.1,0,T3,84.24706,2.807827
sens,저계조,4.1,0,T4,84.24706,2.807827
sens,저계조,4.1,0,T5,84.24706,2.807827
