kind,gray,vdata,t_h,only,i_nA,vg
truth,고계조,3.0,0,,343.90720000000005,2.148994
cards,고계조,3.0,0,,622.0056000000001,1.701922
law,고계조,3.0,0,,621.9854,1.701951
sens,고계조,3.0,0,T1,343.90720000000005,2.148994
sens,고계조,3.0,0,T2,343.90720000000005,2.148994
sens,고계조,3.0,0,T3,343.90720000000005,2.148994
sens,고계조,3.0,0,T4,343.90720000000005,2.148994
sens,고계조,3.0,0,T5,343.90720000000005,2.148994
sens,고계조,3.0,0,T6,343.90720000000005,2.148994
truth,고계조,3.0,10,,339.4627,2.047566
cards,고계조,3.0,10,,608.1152000000001,1.610342
law,고계조,3.0,10,,607.3543000000001,1.609921
sens,고계조,3.0,10,T1,339.63620000000003,2.047683
sens,고계조,3.0,10,T2,343.907,2.148994
sens,고계조,3.0,10,T3,343.9887,2.148839
sens,고계조,3.0,10,T4,343.9069,2.148994
sens,고계조,3.0,10,T5,343.70009999999996,2.148971
sens,고계조,3.0,10,T6,343.8451,2.149072
truth,고계조,3.0,30,,336.5194,1.984418
cards,고계조,3.0,30,,596.8115,1.554641
law,고계조,3.0,30,,598.1282,1.554583
sens,고계조,3.0,30,T1,336.82550000000003,1.984599
sens,고계조,3.0,30,T2,343.90439999999995,2.148999
sens,고계조,3.0,30,T3,344.0381,2.148746
sens,고계조,3.0,30,T4,343.90590000000003,2.148996
sens,고계조,3.0,30,T5,343.5512,2.148951
sens,고계조,3.0,30,T6,343.8027,2.149125
truth,고계조,3.0,100,,331.22249999999997,1.87999
cards,고계조,3.0,100,,582.3833,1.46079
law,고계조,3.0,100,,581.5357,1.461556
sens,고계조,3.0,100,T1,331.7989,1.880266
sens,고계조,3.0,100,T2,343.9076,2.148993
sens,고계조,3.0,100,T3,344.1255,2.148581
sens,고계조,3.0,100,T4,343.906,2.148996
sens,고계조,3.0,100,T5,343.25419999999997,2.148912
sens,고계조,3.0,100,T6,343.7202,2.149225
truth,고계조,3.0,300,,323.4964,1.746429
cards,고계조,3.0,300,,558.6011,1.340466
law,고계조,3.0,300,,558.9585,1.339824
sens,고계조,3.0,300,T1,324.5275,1.746815
sens,고계조,3.0,300,T2,343.9084,2.148991
sens,고계조,3.0,300,T3,344.2323,2.148379
sens,고계조,3.0,300,T4,343.9063,2.148995
sens,고계조,3.0,300,T5,342.75169999999997,2.148845
sens,고계조,3.0,300,T6,343.5819,2.149393
truth,고계조,3.0,1000,,311.3309,1.557159
cards,고계조,3.0,1000,,529.202,1.170756
law,고계조,3.0,1000,,529.111,1.170917
sens,고계조,3.0,1000,T1,313.205,1.557647
sens,고계조,3.0,1000,T2,343.9061,2.148996
sens,고계조,3.0,1000,T3,344.3868,2.148087
sens,고계조,3.0,1000,T4,343.90709999999996,2.148994
sens,고계조,3.0,1000,T5,341.7975,2.148717
sens,고계조,3.0,1000,T6,343.29440000000005,2.149749
truth,고계조,3.0,3000,,300.03740000000005,1.350948
cards,고계조,3.0,3000,,496.24980000000005,0.9936093
law,고계조,3.0,3000,,501.83410000000003,1.010688
sens,고계조,3.0,3000,T1,302.81300000000005,1.351459
sens,고계조,3.0,3000,T2,343.90930000000003,2.14899
sens,고계조,3.0,3000,T3,344.5546,2.147769
sens,고계조,3.0,3000,T4,343.9067,2.148995
sens,고계조,3.0,3000,T5,340.7498,2.148579
sens,고계조,3.0,3000,T6,342.8931,2.15024
truth,중계조,3.6,0,,121.7191,2.676474
cards,중계조,3.6,0,,346.48530000000005,2.16304
law,중계조,3.6,0,,346.4831,2.163044
sens,중계조,3.6,0,T1,121.7191,2.676474
sens,중계조,3.6,0,T2,121.7191,2.676474
sens,중계조,3.6,0,T3,121.7191,2.676474
sens,중계조,3.6,0,T4,121.7191,2.676474
sens,중계조,3.6,0,T5,121.7191,2.676474
sens,중계조,3.6,0,T6,121.7191,2.676474
truth,중계조,3.6,10,,119.23850000000002,2.574991
cards,중계조,3.6,10,,336.19759999999997,2.071339
law,중계조,3.6,10,,335.8217,2.070795
sens,중계조,3.6,10,T1,119.2417,2.575136
sens,중계조,3.6,10,T2,121.7182,2.676477
sens,중계조,3.6,10,T3,121.7658,2.676325
sens,중계조,3.6,10,T4,121.7171,2.67648
sens,중계조,3.6,10,T5,121.67500000000001,2.676469
sens,중계조,3.6,10,T6,121.7068,2.676501
truth,중계조,3.6,30,,117.6498,2.511808
cards,중계조,3.6,30,,328.4758,2.015492
law,중계조,3.6,30,,329.175,2.015493
sens,중계조,3.6,30,T1,117.6616,2.512034
sens,중계조,3.6,30,T2,121.71900000000001,2.676475
sens,중계조,3.6,30,T3,121.7962,2.676227
sens,중계조,3.6,30,T4,121.71849999999999,2.676476
