circuit,gray,t_h,only,i_nA
6T1C,고계조,0,,525.4899
6T1C,고계조,100,,508.3466
6T1C,고계조,1000,,479.99
6T1C,고계조,3000,,463.9354
6T1C,중계조,0,,237.317
6T1C,중계조,100,,226.83
6T1C,중계조,1000,,211.3505
6T1C,중계조,3000,,202.5068
6T1C,저계조,0,,84.24706
6T1C,저계조,100,,78.55742
6T1C,저계조,1000,,71.11561
6T1C,저계조,3000,,66.82155
8T1C,고계조,0,,525.6816
8T1C,고계조,100,,508.52760000000006
8T1C,고계조,1000,,480.1562
8T1C,고계조,3000,,464.093
8T1C,중계조,0,,237.4555
8T1C,중계조,100,,226.9589
8T1C,중계조,1000,,211.4686
8T1C,중계조,3000,,202.618
8T1C,저계조,0,,84.33059
8T1C,저계조,100,,78.63575
8T1C,저계조,1000,,71.18571
8T1C,저계조,3000,,66.88802
8T1C,중계조,3000,T1,204.9035
8T1C,중계조,3000,T2,237.4549
8T1C,중계조,3000,T3,236.9815
8T1C,중계조,3000,T4,237.4548
8T1C,중계조,3000,T5,235.6468
8T1C,중계조,3000,T6,236.8782
8T1C,중계조,3000,T7,237.4537
8T1C,중계조,3000,T8,237.4545
