circuit,start,timing,KH,TAUH_s,age_h,VOBS_V,frame,i_nA
6T1C,black,accelerated_1ms,0.05,0.001,0,5,1,233.753962
6T1C,black,accelerated_1ms,0.05,0.001,0,5,2,234.963949
6T1C,black,accelerated_1ms,0.05,0.001,0,5,3,235.447465
6T1C,black,accelerated_1ms,0.05,0.001,0,5,4,235.638211
6T1C,black,accelerated_1ms,0.05,0.001,0,5,5,235.712929
6T1C,black,accelerated_1ms,0.05,0.001,0,5,6,235.742954
6T1C,black,accelerated_1ms,0.05,0.001,0,5,7,235.751742
6T1C,black,accelerated_1ms,0.05,0.001,0,5,8,235.760868
6T1C,white,accelerated_1ms,0.05,0.001,0,5,1,238.76844
6T1C,white,accelerated_1ms,0.05,0.001,0,5,2,236.958897
6T1C,white,accelerated_1ms,0.05,0.001,0,5,3,236.243094
6T1C,white,accelerated_1ms,0.05,0.001,0,5,4,235.955056
6T1C,white,accelerated_1ms,0.05,0.001,0,5,5,235.838739
6T1C,white,accelerated_1ms,0.05,0.001,0,5,6,235.792486
6T1C,white,accelerated_1ms,0.05,0.001,0,5,7,235.776292
6T1C,white,accelerated_1ms,0.05,0.001,0,5,8,235.767601
6T1C,black,real_60Hz,0,0.001,0,5,1,258.493921
6T1C,black,real_60Hz,0,0.001,0,5,2,258.495444
6T1C,black,real_60Hz,0,0.001,0,5,3,258.495702
6T1C,black,real_60Hz,0,0.001,0,5,4,258.495494
6T1C,black,real_60Hz,0,0.001,0,5,5,258.496721
6T1C,black,real_60Hz,0,0.001,0,5,6,258.496041
6T1C,black,real_60Hz,0,0.001,0,5,7,258.495796
6T1C,black,real_60Hz,0,0.001,0,5,8,258.495795
6T1C,white,real_60Hz,0,0.001,0,5,1,258.497233
6T1C,white,real_60Hz,0,0.001,0,5,2,258.496313
6T1C,white,real_60Hz,0,0.001,0,5,3,258.497011
6T1C,white,real_60Hz,0,0.001,0,5,4,258.495352
6T1C,white,real_60Hz,0,0.001,0,5,5,258.496802
6T1C,white,real_60Hz,0,0.001,0,5,6,258.495745
6T1C,white,real_60Hz,0,0.001,0,5,7,258.496108
6T1C,white,real_60Hz,0,0.001,0,5,8,258.49589
6T1C,black,real_60Hz,0.02,0.001,0,5,1,253.868182
6T1C,black,real_60Hz,0.02,0.001,0,5,2,257.582356
6T1C,black,real_60Hz,0.02,0.001,0,5,3,257.658794
6T1C,black,real_60Hz,0.02,0.001,0,5,4,257.657372
6T1C,black,real_60Hz,0.02,0.001,0,5,5,257.659002
6T1C,black,real_60Hz,0.02,0.001,0,5,6,257.659309
6T1C,black,real_60Hz,0.02,0.001,0,5,7,257.659003
6T1C,black,real_60Hz,0.02,0.001,0,5,8,257.655747
6T1C,white,real_60Hz,0.02,0.001,0,5,1,261.962256
6T1C,white,real_60Hz,0.02,0.001,0,5,2,257.746197
6T1C,white,real_60Hz,0.02,0.001,0,5,3,257.661045
6T1C,white,real_60Hz,0.02,0.001,0,5,4,257.657875
6T1C,white,real_60Hz,0.02,0.001,0,5,5,257.65781
6T1C,white,real_60Hz,0.02,0.001,0,5,6,257.659675
6T1C,white,real_60Hz,0.02,0.001,0,5,7,257.658972
6T1C,white,real_60Hz,0.02,0.001,0,5,8,257.659641
6T1C,black,real_60Hz,0.05,0.0001,0,5,1,242.677045
6T1C,black,real_60Hz,0.05,0.0001,0,5,2,251.923019
6T1C,black,real_60Hz,0.05,0.0001,0,5,3,252.404758
6T1C,black,real_60Hz,0.05,0.0001,0,5,4,252.429942
6T1C,black,real_60Hz,0.05,0.0001,0,5,5,252.43101
6T1C,black,real_60Hz,0.05,0.0001,0,5,6,252.43094
6T1C,black,real_60Hz,0.05,0.0001,0,5,7,252.432733
6T1C,black,real_60Hz,0.05,0.0001,0,5,8,252.432325
6T1C,white,real_60Hz,0.05,0.0001,0,5,1,261.920194
6T1C,white,real_60Hz,0.05,0.0001,0,5,2,252.913317
6T1C,white,real_60Hz,0.05,0.0001,0,5,3,252.454941
6T1C,white,real_60Hz,0.05,0.0001,0,5,4,252.433794
6T1C,white,real_60Hz,0.05,0.0001,0,5,5,252.432131
6T1C,white,real_60Hz,0.05,0.0001,0,5,6,252.431521
6T1C,white,real_60Hz,0.05,0.0001,0,5,7,252.430675
6T1C,white,real_60Hz,0.05,0.0001,0,5,8,252.430765
6T1C,black,real_60Hz,0.05,0.001,0,5,1,246.92342
6T1C,black,real_60Hz,0.05,0.001,0,5,2,255.762851
6T1C,black,real_60Hz,0.05,0.001,0,5,3,256.215274
6T1C,black,real_60Hz,0.05,0.001,0,5,4,256.235936
6T1C,black,real_60Hz,0.05,0.001,0,5,5,256.239052
6T1C,black,real_60Hz,0.05,0.001,0,5,6,256.238558
6T1C,black,real_60Hz,0.05,0.001,0,5,7,256.239695
6T1C,black,real_60Hz,0.05,0.001,0,5,8,256.239678
6T1C,white,real_60Hz,0.05,0.001,0,5,1,266.971854
6T1C,white,real_60Hz,0.05,0.001,0,5,2,256.777298
6T1C,white,real_60Hz,0.05,0.001,0,5,3,256.267172
6T1C,white,real_60Hz,0.05,0.001,0,5,4,256.240379
6T1C,white,real_60Hz,0.05,0.001,0,5,5,256.241077
6T1C,white,real_60Hz,0.05,0.001,0,5,6,256.239727
6T1C,white,real_60Hz,0.05,0.001,0,5,7,256.23801
6T1C,white,real_60Hz,0.05,0.001,0,5,8,256.235677
6T1C,black,real_60Hz,0.05,0.001,1000,5,1,219.473823
6T1C,black,real_60Hz,0.05,0.001,1000,5,2,227.586006
6T1C,black,real_60Hz,0.05,0.001,1000,5,3,228.00049
6T1C,black,real_60Hz,0.05,0.001,1000,5,4,228.018194
6T1C,black,real_60Hz,0.05,0.001,1000,5,5,228.021692
6T1C,black,real_60Hz,0.05,0.001,1000,5,6,228.02143
6T1C,black,real_60Hz,0.05,0.001,1000,5,7,228.017963
6T1C,black,real_60Hz,0.05,0.001,1000,5,8,228.019539
6T1C,white,real_60Hz,0.05,0.001,1000,5,1,238.068059
6T1C,white,real_60Hz,0.05,0.001,1000,5,2,228.517746
6T1C,white,real_60Hz,0.05,0.001,1000,5,3,228.047606
6T1C,white,real_60Hz,0.05,0.001,1000,5,4,228.02396
6T1C,white,real_60Hz,0.05,0.001,1000,5,5,228.021568
6T1C,white,real_60Hz,0.05,0.001,1000,5,6,228.019186
6T1C,white,real_60Hz,0.05,0.001,1000,5,7,228.019426
6T1C,white,real_60Hz,0.05,0.001,1000,5,8,228.020392
6T1C,black,real_60Hz,0.05,0.001,3000,5,1,210.108914
6T1C,black,real_60Hz,0.05,0.001,3000,5,2,217.949376
6T1C,black,real_60Hz,0.05,0.001,3000,5,3,218.345339
6T1C,black,real_60Hz,0.05,0.001,3000,5,4,218.367332
6T1C,black,real_60Hz,0.05,0.001,3000,5,5,218.367046
6T1C,black,real_60Hz,0.05,0.001,3000,5,6,218.367638
6T1C,black,real_60Hz,0.05,0.001,3000,5,7,218.364491
6T1C,black,real_60Hz,0.05,0.001,3000,5,8,218.367085
6T1C,white,real_60Hz,0.05,0.001,3000,5,1,228.139956
6T1C,white,real_60Hz,0.05,0.001,3000,5,2,218.851449
