circuit,timing,KH,TAUH_s,age_h,VOBS_V,I_ss_nA,E1,N_settle_black,N_settle_white,R_ss
6T1C,accelerated_1ms,0.05,0.001,0,5,235.764126,0.0212690449,1,2,1
6T1C,real_60Hz,0,0.001,0,5,258.495897,1.28125398e-05,1,1,1
6T1C,real_60Hz,0.02,0.001,0,5,257.658341,0.0314139807,2,2,1
6T1C,real_60Hz,0.05,0.0001,0,5,252.431624,0.0762311352,2,2,1
6T1C,real_60Hz,0.05,0.001,0,5,256.238265,0.0782413769,2,2,1
6T1C,real_60Hz,0.05,0.001,1000,5,228.01933,0.0815467548,2,2,0.889872285
6T1C,real_60Hz,0.05,0.001,3000,5,218.364781,0.0825730329,2,2,0.852194269
6T1C,real_60Hz,0.05,0.01,0,5,255.744324,0.036884336,2,2,1
6T1C,real_60Hz,0.1,0.001,0,5,253.389848,0.155540719,2,2,1
8T1C,accelerated_1ms,0.05,0.001,0,5,245.667291,0.00749250302,1,1,1
8T1C,real_60Hz,0,0.001,0,5,258.570698,6.8619382e-06,1,1,1
8T1C,real_60Hz,0.02,0.001,0,5,263.475475,0.0237724734,2,2,1
8T1C,real_60Hz,0.05,0.0001,0,5,302.190934,0.00932225983,1,1,1
8T1C,real_60Hz,0.05,0.001,0,4,267.9124,0.0586338945,2,2,1
8T1C,real_60Hz,0.05,0.001,0,5,270.514429,0.0583556772,2,2,1
8T1C,real_60Hz,0.05,0.001,0,6,273.132224,0.0580727779,2,2,1
8T1C,real_60Hz,0.05,0.001,1000,5,239.725969,0.0605797831,2,2,0.886185519
8T1C,real_60Hz,0.05,0.001,3000,5,229.214489,0.0613145132,2,2,0.847328146
8T1C,real_60Hz,0.05,0.01,0,5,256.793929,0.0355364912,2,2,1
8T1C,real_60Hz,0.1,0.001,0,5,281.240039,0.113225751,2,2,1
8T1C_no_T7,real_60Hz,0,0.001,0,5,258.50348,1.17720414e-05,1,1,1
8T1C_no_T7,real_60Hz,0.02,0.001,0,5,263.408823,0.023791187,2,2,1
8T1C_no_T7,real_60Hz,0.05,0.0001,0,5,302.147226,0.00932170588,1,1,1
8T1C_no_T7,real_60Hz,0.05,0.001,0,5,270.449625,0.0583970979,2,2,1
8T1C_no_T7,real_60Hz,0.05,0.001,1000,5,239.674062,0.060621003,2,2,0.886205931
8T1C_no_T7,real_60Hz,0.05,0.001,3000,5,229.166444,0.0613393322,2,2,0.847353527
8T1C_no_T7,real_60Hz,0.05,0.01,0,5,256.729471,0.0355824251,2,2,1
8T1C_no_T7,real_60Hz,0.1,0.001,0,5,281.182397,0.113234146,2,2,1
8T1C_no_T8,real_60Hz,0,0.001,0,5,258.564065,1.2297456e-05,1,1,1
8T1C_no_T8,real_60Hz,0.02,0.001,0,5,257.723852,0.0313970798,2,2,1
8T1C_no_T8,real_60Hz,0.05,0.0001,0,5,252.475024,0.0761918963,2,2,1
8T1C_no_T8,real_60Hz,0.05,0.001,0,5,256.301687,0.0782169272,2,2,1
8T1C_no_T8,real_60Hz,0.05,0.001,1000,5,228.071491,0.081497948,2,2,0.889855597
8T1C_no_T8,real_60Hz,0.05,0.001,3000,5,218.415837,0.0825355534,2,2,0.852182596
8T1C_no_T8,real_60Hz,0.05,0.01,0,5,255.811459,0.0368843451,2,2,1
8T1C_no_T8,real_60Hz,0.1,0.001,0,5,253.447875,0.155461206,2,2,1
