circuit,start,timing,KH,TAUH_s,age_h,VOBS_V
6T1C,black,accelerated_1ms,0.05,0.001,0,5
6T1C,white,accelerated_1ms,0.05,0.001,0,5
6T1C,black,real_60Hz,0,0.001,0,5
6T1C,white,real_60Hz,0,0.001,0,5
6T1C,black,real_60Hz,0.02,0.001,0,5
6T1C,white,real_60Hz,0.02,0.001,0,5
6T1C,black,real_60Hz,0.05,0.0001,0,5
6T1C,white,real_60Hz,0.05,0.0001,0,5
6T1C,black,real_60Hz,0.05,0.001,0,5
6T1C,white,real_60Hz,0.05,0.001,0,5
6T1C,black,real_60Hz,0.05,0.001,1000,5
6T1C,white,real_60Hz,0.05,0.001,1000,5
6T1C,black,real_60Hz,0.05,0.001,3000,5
6T1C,white,real_60Hz,0.05,0.001,3000,5
6T1C,black,real_60Hz,0.05,0.01,0,5
6T1C,white,real_60Hz,0.05,0.01,0,5
6T1C,black,real_60Hz,0.1,0.001,0,5
6T1C,white,real_60Hz,0.1,0.001,0,5
8T1C,black,accelerated_1ms,0.05,0.001,0,5
8T1C,white,accelerated_1ms,0.05,0.001,0,5
8T1C,black,real_60Hz,0,0.001,0,5
8T1C,white,real_60Hz,0,0.001,0,5
8T1C,black,real_60Hz,0.02,0.001,0,5
8T1C,white,real_60Hz,0.02,0.001,0,5
8T1C,black,real_60Hz,0.05,0.0001,0,5
8T1C,white,real_60Hz,0.05,0.0001,0,5
8T1C,black,real_60Hz,0.05,0.001,0,4
8T1C,white,real_60Hz,0.05,0.001,0,4
8T1C,black,real_60Hz,0.05,0.001,0,5
8T1C,white,real_60Hz,0.05,0.001,0,5
8T1C,black,real_60Hz,0.05,0.001,0,6
8T1C,white,real_60Hz,0.05,0.001,0,6
8T1C,black,real_60Hz,0.05,0.001,1000,5
8T1C,white,real_60Hz,0.05,0.001,1000,5
8T1C,black,real_60Hz,0.05,0.001,3000,5
8T1C,white,real_60Hz,0.05,0.001,3000,5
8T1C,black,real_60Hz,0.05,0.01,0,5
8T1C,white,real_60Hz,0.05,0.01,0,5
8T1C,black,real_60Hz,0.1,0.001,0,5
8T1C,white,real_60Hz,0.1,0.001,0,5
8T1C_no_T7,black,real_60Hz,0,0.001,0,5
8T1C_no_T7,white,real_60Hz,0,0.001,0,5
8T1C_no_T7,black,real_60Hz,0.02,0.001,0,5
8T1C_no_T7,white,real_60Hz,0.02,0.001,0,5
8T1C_no_T7,black,real_60Hz,0.05,0.0001,0,5
8T1C_no_T7,white,real_60Hz,0.05,0.0001,0,5
8T1C_no_T7,black,real_60Hz,0.05,0.001,0,5
8T1C_no_T7,white,real_60Hz,0.05,0.001,0,5
8T1C_no_T7,black,real_60Hz,0.05,0.001,1000,5
8T1C_no_T7,white,real_60Hz,0.05,0.001,1000,5
8T1C_no_T7,black,real_60Hz,0.05,0.001,3000,5
8T1C_no_T7,white,real_60Hz,0.05,0.001,3000,5
8T1C_no_T7,black,real_60Hz,0.05,0.01,0,5
8T1C_no_T7,white,real_60Hz,0.05,0.01,0,5
8T1C_no_T7,black,real_60Hz,0.1,0.001,0,5
8T1C_no_T7,white,real_60Hz,0.1,0.001,0,5
8T1C_no_T8,black,real_60Hz,0,0.001,0,5
8T1C_no_T8,white,real_60Hz,0,0.001,0,5
8T1C_no_T8,black,real_60Hz,0.02,0.001,0,5
8T1C_no_T8,white,real_60Hz,0.02,0.001,0,5
8T1C_no_T8,black,real_60Hz,0.05,0.0001,0,5
8T1C_no_T8,white,real_60Hz,0.05,0.0001,0,5
8T1C_no_T8,black,real_60Hz,0.05,0.001,0,5
8T1C_no_T8,white,real_60Hz,0.05,0.001,0,5
8T1C_no_T8,black,real_60Hz,0.05,0.001,1000,5
8T1C_no_T8,white,real_60Hz,0.05,0.001,1000,5
8T1C_no_T8,black,real_60Hz,0.05,0.001,3000,5
8T1C_no_T8,white,real_60Hz,0.05,0.001,3000,5
8T1C_no_T8,black,real_60Hz,0.05,0.01,0,5
8T1C_no_T8,white,real_60Hz,0.05,0.01,0,5
8T1C_no_T8,black,real_60Hz,0.1,0.001,0,5
8T1C_no_T8,white,real_60Hz,0.1,0.001,0,5
