tft,t_h,kind,vsg,vsd,id,id_meas,split
T7,0,tr,-2,0.1,2.02e-14,3.13297163e-14,fit
T7,0,tr,-1.95,0.1,2.02e-14,2.5326175e-14,fit
T7,0,tr,-1.9,0.1,2.02e-14,1.97562135e-14,fit
T7,0,tr,-1.85,0.1,2.02e-14,2.76517262e-14,fit
T7,0,tr,-1.8,0.1,2.02e-14,2.8102361e-14,fit
T7,0,tr,-1.75,0.1,2.02e-14,1.98832019e-14,fit
T7,0,tr,-1.7,0.1,2.02e-14,2.90504553e-14,fit
T7,0,tr,-1.65,0.1,2.02e-14,1.79015324e-14,fit
T7,0,tr,-1.6,0.1,2.02e-14,2.12596952e-14,fit
T7,0,tr,-1.55,0.1,2.02e-14,1.52809704e-14,fit
T7,0,tr,-1.5,0.1,2.02e-14,2.17547881e-14,fit
T7,0,tr,-1.45,0.1,2.02e-14,2.34493838e-14,fit
T7,0,tr,-1.4,0.1,2.02e-14,2.56397304e-14,fit
T7,0,tr,-1.35,0.1,2.02e-14,2.50810685e-14,fit
T7,0,tr,-1.3,0.1,2.02e-14,2.76946366e-14,fit
T7,0,tr,-1.25,0.1,2.02e-14,2.27735978e-14,fit
T7,0,tr,-1.2,0.1,2.02e-14,1.67374404e-14,fit
T7,0,tr,-1.15,0.1,2.02e-14,2.19206221e-14,fit
T7,0,tr,-1.1,0.1,2.02e-14,2.70193144e-14,fit
T7,0,tr,-1.05,0.1,2.02e-14,1.4812267e-14,fit
T7,0,tr,-1,0.1,2.02e-14,2.62643924e-14,fit
T7,0,tr,-0.95,0.1,2.02e-14,1.96984393e-14,fit
T7,0,tr,-0.9,0.1,2.02e-14,1.4118538e-14,fit
T7,0,tr,-0.85,0.1,2.02e-14,2.00026914e-14,fit
T7,0,tr,-0.8,0.1,2.02e-14,2.08681068e-14,fit
T7,0,tr,-0.75,0.1,2.02000001e-14,3.00676352e-14,fit
T7,0,tr,-0.7,0.1,2.02000001e-14,1.84138813e-14,fit
T7,0,tr,-0.65,0.1,2.02000003e-14,1.9251364e-14,fit
T7,0,tr,-0.6,0.1,2.02000008e-14,2.3548412e-14,fit
T7,0,tr,-0.55,0.1,2.02000019e-14,2.27316326e-14,fit
T7,0,tr,-0.5,0.1,2.02000045e-14,1.93954506e-14,fit
T7,0,tr,-0.45,0.1,2.0200011e-14,2.2179736e-14,fit
T7,0,tr,-0.4,0.1,2.02000266e-14,1.87238632e-14,fit
T7,0,tr,-0.35,0.1,2.02000645e-14,1.93746715e-14,fit
T7,0,tr,-0.3,0.1,2.02001563e-14,1.06700055e-14,fit
T7,0,tr,-0.25,0.1,2.02003787e-14,2.14810746e-14,fit
T7,0,tr,-0.2,0.1,2.02009179e-14,2.15945281e-14,fit
T7,0,tr,-0.15,0.1,2.02022249e-14,3.02255144e-14,fit
T7,0,tr,-0.1,0.1,2.02053927e-14,1.71016853e-14,fit
T7,0,tr,-0.05,0.1,2.02130708e-14,2.64446745e-14,fit
T7,0,tr,1.20736754e-15,0.1,2.02316802e-14,2.94387635e-14,fit
T7,0,tr,0.05,0.1,2.02987105e-14,1.96668878e-14,fit
T7,0,tr,0.1,0.1,2.04392354e-14,2.19456449e-14,fit
T7,0,tr,0.15,0.1,2.07797868e-14,2.24581919e-14,fit
T7,0,tr,0.2,0.1,2.16050173e-14,1.97134527e-14,fit
