tft,t_h,split,dVth_truth,dVth_extracted,dVth_law,mu_loss_truth_pct,mu_loss_extracted_pct,mu_loss_law_pct
T7,0,fit,0,0,0,0,0,0
T7,10,fit,0.00250808,0.00392205,0.00392329,0.00101644,-0.110045,1.67228e-08
T7,30,fit,0.00406853,0.00574354,0.00569342,0.0030116,-0.0250168,4.68783e-08
T7,100,fit,0.0066467,0.00840109,0.00849319,0.00961465,-0.0745376,1.4369e-07
T7,300,fit,0.00993826,0.0121582,0.0121015,0.0255875,-0.413123,3.89455e-07
T7,1000,fit,0.0145954,0.0175177,0.0175282,0.0583815,-0.152518,1.07284e-06
T7,3000,blind,0.0196829,0.0231878,0.0240214,0.0799003,-0.203726,2.24127e-06
T8,0,fit,0,0,0,0,0,0
T8,10,fit,0.0283354,0.02989,0.0307358,0.0114834,-0.159617,0.0132158
T8,30,fit,0.0459649,0.048161,0.0478653,0.0340241,-0.288494,0.0390586
T8,100,fit,0.0750921,0.0772703,0.0761637,0.108623,0.02561,0.123625
T8,300,fit,0.112279,0.112005,0.112935,0.289078,0.444695,0.3215
T8,1000,fit,0.164894,0.165543,0.165346,0.659574,0.67057,0.688595
T8,3000,blind,0.222371,0.224453,0.219096,0.902686,0.683823,0.875652
