method,test,n,mape_pct,p95_pct
conventional,in_range,500,3.6969,7.2681
conventional,time_extrap,400,7.2607,39.4624
conventional,gray_extrap,400,6.9775,11.0458
AI-GBM,in_range,500,1.9088,5.0646
AI-GBM,time_extrap,400,4.1372,13.0569
AI-GBM,gray_extrap,400,127.5181,224.7873
AI-MLP,in_range,500,11.2186,26.8230
AI-MLP,time_extrap,400,21.8911,67.1811
AI-MLP,gray_extrap,400,79.8615,145.0405
Hybrid,in_range,500,1.0239,2.3533
Hybrid,time_extrap,400,6.2009,36.9910
Hybrid,gray_extrap,400,2.5710,5.3273
AI-GBM,learning_n100,500,5.8202,
Hybrid,learning_n100,500,1.9346,
AI-GBM,learning_n250,500,3.2552,
Hybrid,learning_n250,500,1.3665,
AI-GBM,learning_n500,500,2.7929,
Hybrid,learning_n500,500,1.1890,
AI-GBM,learning_n1000,500,2.3913,
Hybrid,learning_n1000,500,1.0991,
AI-GBM,learning_n2000,500,1.9088,
Hybrid,learning_n2000,500,1.0239,
