kind,gray,vdata,t_h,only,i_nA,vg
cards,고계조,3,0,,502.4377,1.869858
cards,고계조,3,10,,498.0705,1.765674
cards,고계조,3,30,,492.6271,1.703096
cards,고계조,3,100,,487.7156,1.59651
cards,고계조,3,300,,476.4888,1.459089
cards,고계조,3,1000,,465.4672,1.263766
cards,고계조,3,3000,,452.0595,1.058818
cards,중계조,3.6,0,,223.7614,2.397954
cards,중계조,3.6,10,,221.0191,2.2937
cards,중계조,3.6,30,,218.1764,2.231086
cards,중계조,3.6,100,,215.2215,2.124427
cards,중계조,3.6,300,,209.4406,1.986886
cards,중계조,3.6,1000,,203.3586,1.791336
cards,중계조,3.6,3000,,196.2575,1.586083
cards,저계조,4.1,0,,76.726,2.836414
cards,저계조,4.1,10,,75.18269,2.73209
cards,저계조,4.1,30,,73.89525,2.669449
cards,저계조,4.1,100,,72.29673,2.56271
cards,저계조,4.1,300,,69.68896,2.425073
cards,저계조,4.1,1000,,66.66483,2.229336
cards,저계조,4.1,3000,,63.33948,2.023857
law,고계조,3,0,,504.9815,1.864495
law,고계조,3,10,,499.9421,1.760092
law,고계조,3,30,,496.3406,1.697538
law,고계조,3,100,,489.2825,1.591893
law,고계조,3,300,,479.2867,1.453232
law,고계조,3,1000,,467.7233,1.258483
law,고계조,3,3000,,458.6584,1.069089
law,중계조,3.6,0,,224.7815,2.392584
law,중계조,3.6,10,,221.746,2.288119
law,중계조,3.6,30,,219.6941,2.225519
law,중계조,3.6,100,,215.8382,2.119809
law,중계조,3.6,300,,210.5368,1.981029
law,중계조,3.6,1000,,204.2394,1.786051
law,중계조,3.6,3000,,199.0784,1.596321
law,저계조,4.1,0,,76.99549,2.831037
law,저계조,4.1,10,,75.35768,2.726507
law,저계조,4.1,30,,74.31236,2.663869
law,저계조,4.1,100,,72.4484,2.558084
law,저계조,4.1,300,,69.96542,2.419204
law,저계조,4.1,1000,,66.88064,2.224042
law,저계조,4.1,3000,,64.20916,2.034075
sens,고계조,3,3000,T1,471.2484,1.043662
sens,고계조,3,3000,T2,525.682,1.840664
sens,고계조,3,3000,T3,524.9892,1.841731
sens,고계조,3,3000,T4,525.6825,1.840664
sens,고계조,3,3000,T5,519.7338,1.840036
sens,고계조,3,3000,T6,523.7498,1.842522
sens,고계조,3,3000,T7,525.6816,1.840665
sens,고계조,3,3000,T8,525.6818,1.840665
sens,중계조,3.6,3000,T1,204.9035,1.57165
sens,중계조,3.6,3000,T2,237.4549,2.368865
sens,중계조,3.6,3000,T3,236.9815,2.369942
sens,중계조,3.6,3000,T4,237.4548,2.368865
sens,중계조,3.6,3000,T5,235.6468,2.368571
sens,중계조,3.6,3000,T6,236.8782,2.369737
sens,중계조,3.6,3000,T7,237.4546,2.368865
sens,중계조,3.6,3000,T8,237.455,2.368865
sens,저계조,4.1,3000,T1,67.46907,2.009904
sens,저계조,4.1,3000,T2,84.33112,2.807497
sens,저계조,4.1,3000,T3,84.05241,2.808578
sens,저계조,4.1,3000,T4,84.33058,2.807499
sens,저계조,4.1,3000,T5,83.956,2.807387
sens,저계조,4.1,3000,T6,84.21115,2.80782
sens,저계조,4.1,3000,T7,84.33057,2.807499
sens,저계조,4.1,3000,T8,84.3306,2.807499
truth,고계조,3,0,,525.6816,1.840665
truth,고계조,3,10,,519.7735,1.739606
truth,고계조,3,30,,515.7984,1.676697
truth,고계조,3,100,,508.5276,1.572656
truth,고계조,3,300,,497.6488,1.439613
truth,고계조,3,1000,,480.1564,1.251113
truth,고계조,3,3000,,464.093,1.045794
truth,중계조,3.6,0,,237.4555,2.368863
truth,중계조,3.6,10,,233.7098,2.267745
truth,중계조,3.6,30,,231.2663,2.204793
truth,중계조,3.6,100,,226.9593,2.100678
truth,중계조,3.6,300,,220.8511,1.967522
truth,중계조,3.6,1000,,211.4684,1.778817
truth,중계조,3.6,3000,,202.6195,1.573192
truth,저계조,4.1,0,,84.33059,2.807499
truth,저계조,4.1,10,,82.22895,2.706314
truth,저계조,4.1,30,,80.89782,2.643316
truth,저계조,4.1,100,,78.63556,2.539125
truth,저계조,4.1,300,,75.6047,2.405861
truth,저계조,4.1,1000,,71.18575,2.216988
truth,저계조,4.1,3000,,66.8882,2.011128
